kepid,candidate_id,period,t0,duration_days,disposition
10811496,10811496_19899139_175,19.89913995,175.850252,0.07425833333333333,CANDIDATE
10848459,10848459_1736952_170,1.736952453,170.307565,0.10026708333333334,FALSE POSITIVE
10872983,10872983_11094320_171,11.09432054,171.20116,0.1914375,CONFIRMED
10872983,10872983_4134435_172,4.13443512,172.97937,0.13084166666666666,CONFIRMED
10872983,10872983_2566588_179,2.56658897,179.55437,0.10120833333333333,CONFIRMED
6721123,6721123_7361789_132,7.36178958,132.25053,0.20925000000000002,FALSE POSITIVE
10910878,10910878_16068646_173,16.06864674,173.621937,0.14727916666666666,CONFIRMED
10910878,10910878_41197255_165,41.19725502,165.00404,0.19290416666666665,CONFIRMED
10910878,10910878_6252962_171,6.252962249,171.30126,0.10757916666666667,CONFIRMED
11446443,11446443_2470613_122,2.470613377,122.763305,0.07263291666666667,CONFIRMED
10666592,10666592_2204735_121,2.204735417,121.3585417,0.16202666666666668,CONFIRMED
6922244,6922244_3522498_121,3.522498429,121.1194228,0.13326791666666668,CONFIRMED
10419211,10419211_11521446_170,11.521446064,170.839688,0.1516625,FALSE POSITIVE
10464078,10464078_19403937_172,19.40393776,172.484253,0.5089791666666666,FALSE POSITIVE
10480982,10480982_19221388_184,19.221388942,184.5521637,0.19993458333333333,FALSE POSITIVE
10485250,10485250_16469837_180,16.46983774,180.881761,0.39324166666666666,FALSE POSITIVE
10526549,10526549_9273581_173,9.27358173,173.258155,0.13697916666666668,CONFIRMED
10583066,10583066_6029303_171,6.02930329,171.602959,0.06592083333333333,CONFIRMED
10583180,10583180_2696370_170,2.696370652,170.73769,0.1505375,FALSE POSITIVE
10601284,10601284_5349553_171,5.349553819,171.80694,0.12615833333333334,CONFIRMED
10601284,10601284_3941052_136,3.94105221,136.08662,0.10826666666666666,CONFIRMED
10601284,10601284_8109048_132,8.10904807,132.8031,0.14983333333333335,CONFIRMED
2306756,2306756_386603052_166,386.6030528,166.342079,0.2835708333333333,FALSE POSITIVE
10662202,10662202_21676991_171,21.67699193,171.53594,0.14397916666666666,CONFIRMED
10682541,10682541_4996779_171,4.99677968,171.74208,0.0904875,CONFIRMED
11460018,11460018_4280963_171,4.280963604,171.89659,0.11979166666666667,CONFIRMED
11463211,11463211_1506354_170,1.50635409,170.998064,0.06314583333333333,FALSE POSITIVE
11465813,11465813_670645531_209,670.645531,209.04355,2.2255,FALSE POSITIVE
11493732,11493732_61256362_173,61.2563628,173.83826,0.31804166666666667,FALSE POSITIVE
11507101,11507101_38377548_172,38.3775486,172.82048,0.23283333333333334,CONFIRMED
10987985,10987985_16013084_176,16.01308419,176.3608,0.13564166666666666,CONFIRMED
11018648,11018648_32628766_194,32.62876672,194.1019,0.1998791666666667,CONFIRMED
11018648,11018648_91773286_193,91.7732862,193.8378,0.2697083333333333,CONFIRMED
11138155,11138155_4959319_172,4.959319244,172.2585292,0.09280791666666667,CONFIRMED
11152159,11152159_2701287_170,2.701287801,170.69579,0.14094583333333333,FALSE POSITIVE
11153539,11153539_4498765_171,4.49876511,171.34905,0.155675,CONFIRMED
11242721,11242721_19651209_179,19.651209505,179.401981,0.21880833333333335,FALSE POSITIVE
9579641,9579641_5412203_133,5.412203927,133.143089,0.1228,CONFIRMED
9579641,9579641_7125943_139,7.12594387,139.00492,0.12505833333333333,CONFIRMED
9579641,9579641_3435916_132,3.43591631,132.6624,0.13054166666666667,CANDIDATE
11304958,11304958_41439586_208,41.43958662,208.93203,0.44162083333333335,CONFIRMED
11391957,11391957_8353895_171,8.35389523,171.63257,0.09380833333333333,CONFIRMED
11403044,11403044_4125543_169,4.125543472,169.752585,0.13226666666666667,CONFIRMED
11414511,11414511_2816504_170,2.816504904,170.9676846,0.10441125,CONFIRMED
11442465,11442465_33933734_186,33.93373447,186.67608,0.6067083333333333,FALSE POSITIVE
12110942,12110942_3689920_170,3.689920099,170.36571,0.11065416666666666,CONFIRMED
12366084,12366084_4431238_171,4.431238488,171.015,0.13125,CONFIRMED
12366084,12366084_11379369_133,11.37936986,133.84992,0.10939583333333334,CONFIRMED
12404086,12404086_26394328_176,26.39432897,176.05459,0.148875,CONFIRMED
